Coin,Session,Bucket_A,Bucket_B,N_A,N_B,WR_A,WR_B,CI_Overlap,Verdict
TIAUSDT,DEFAULT,1.5-2%,2-3%,501,921,50.1%,49.2%,Evet,FARK YOK
TIAUSDT,DEFAULT,1.5-2%,3-5%,501,740,50.1%,59.3%,Hayır,ANLAMLI FARK VAR
TIAUSDT,DEFAULT,1.5-2%,>5%,501,247,50.1%,56.3%,Evet,FARK YOK
TIAUSDT,DEFAULT,2-3%,3-5%,921,740,49.2%,59.3%,Hayır,ANLAMLI FARK VAR
TIAUSDT,DEFAULT,2-3%,>5%,921,247,49.2%,56.3%,Evet,FARK YOK
TIAUSDT,DEFAULT,3-5%,>5%,740,247,59.3%,56.3%,Evet,FARK YOK
TIAUSDT,DEFAULT,--- OZET ---,2/15 bucket cifti birbirinden ayrisiyor,,,,,,2 cift ayrisiyor
TIAUSDT,ASIA_RANGE,0-1%,1-1.5%,123,504,46.3%,54.6%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,0-1%,1.5-2%,123,554,46.3%,52.5%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,0-1%,2-3%,123,847,46.3%,52.5%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,0-1%,3-5%,123,652,46.3%,50.9%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,0-1%,>5%,123,282,46.3%,60.6%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1-1.5%,1.5-2%,504,554,54.6%,52.5%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1-1.5%,2-3%,504,847,54.6%,52.5%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1-1.5%,3-5%,504,652,54.6%,50.9%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1-1.5%,>5%,504,282,54.6%,60.6%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1.5-2%,2-3%,554,847,52.5%,52.5%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1.5-2%,3-5%,554,652,52.5%,50.9%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,1.5-2%,>5%,554,282,52.5%,60.6%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,2-3%,3-5%,847,652,52.5%,50.9%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,2-3%,>5%,847,282,52.5%,60.6%,Evet,FARK YOK
TIAUSDT,ASIA_RANGE,3-5%,>5%,652,282,50.9%,60.6%,Hayır,ANLAMLI FARK VAR
TIAUSDT,ASIA_RANGE,--- OZET ---,1/15 bucket cifti birbirinden ayrisiyor,,,,,,1 cift ayrisiyor
