mult,sym,min_fvg,trades,pnl,wr,mdd,pf
0.18,BTCUSDT,49.7572,540,13310.09,44.62962962962963,3.4451358777592644,4.492834865459613
0.18,DOTUSDT,0.0018,614,15753.32,44.462540716612374,5.599796830961337,5.01332402606288
0.18,ETHUSDT,2.0825,422,4931.14,39.09952606635071,2.840667970079106,3.4354861509328285
0.18,LINKUSDT,0.0104,508,3568.9,34.84251968503937,4.875156824802774,3.163782333740124
0.18,NEARUSDT,0.0016,766,16007.27,46.73629242819843,1.9079152368652523,4.044857158872218
0.18,SOLUSDT,0.0979,395,1780.84,30.126582278481013,13.095051261493301,3.1848855666433975
0.18,SUIUSDT,0.0014,625,11066.97,41.92,4.2596513049441915,4.218229982458234
0.18,XRPUSDT,0.0015,599,12060.24,45.07512520868113,2.9614860777073497,3.9489126665675927
0.2,ADAUSDT,0.0004,569,7322.2300000000005,39.894551845342704,4.482713099413658,3.436885080994832
0.2,APTUSDT,0.0016,616,14573.7,52.27272727272727,2.3257201944618435,3.8401694025289874
0.2,ATOMUSDT,0.0023,700,19843.05,45.57142857142858,5.61189959739471,5.3976107769211215
0.2,AVAXUSDT,0.0115,552,10494.15,42.391304347826086,3.220160091867071,4.753304916543991
0.2,BNBUSDT,0.5042,643,13645.73,44.47900466562986,4.633707586378017,4.213998798276679
0.2,BTCUSDT,55.2858,548,13092.96,44.34306569343065,3.482764500913234,4.453866911941557
0.2,DOTUSDT,0.002,614,14871.41,43.811074918566774,4.029419673535206,4.926450506492261
0.2,ETHUSDT,2.3138,417,4854.7,38.84892086330935,2.8495695507444974,3.473810549809952
0.2,LINKUSDT,0.0116,494,3595.98,35.020242914979754,5.119008414959891,3.179217243124463
0.2,NEARUSDT,0.0018,756,15945.46,46.56084656084656,1.9079152368652523,4.163859658191887
0.2,SOLUSDT,0.1088,392,1538.23,29.081632653061224,13.773221200593625,3.226826596451433
0.2,SUIUSDT,0.0015,616,9589.32,40.0974025974026,4.250966882417419,4.077381559999072
0.2,XRPUSDT,0.0017,577,11478.84,43.84748700173311,2.9614860777073497,4.083769235795178
0.22,ADAUSDT,0.0004,551,6853.27,38.83847549909255,4.397322109372623,3.486462579324026
0.22,APTUSDT,0.0018,609,13897.37,51.88834154351396,2.550589540576891,3.7462877312560856
0.22,ATOMUSDT,0.0025,689,19218.79,45.573294629898406,5.690617180025242,5.33391675807447
0.22,AVAXUSDT,0.0127,543,9745.48,41.62062615101289,3.2203613100656545,4.7669344251904295
0.22,BNBUSDT,0.5546,636,13297.66,44.49685534591195,4.615246493047878,4.17784181866806
0.22,BTCUSDT,60.8144,544,12572.01,44.11764705882353,3.5764872155407303,4.39744058500914
0.22,DOTUSDT,0.0022,613,15983.69,44.04567699836868,4.218844924259748,5.186347480123149
0.22,ETHUSDT,2.5452,415,4328.54,36.144578313253014,3.3695225818491594,3.644059017037364
0.22,LINKUSDT,0.0127,459,2348.04,34.20479302832244,7.7802654505165325,2.8524799899409423
0.22,NEARUSDT,0.0019,740,15932.22,46.62162162162162,1.9079152368652523,4.1868018559890015
0.22,SOLUSDT,0.1197,392,1508.79,28.57142857142857,14.528326026509259,3.282465310186049
0.22,SUIUSDT,0.0017,609,8929.4,39.737274220032845,4.126406692041332,3.969114584713325
0.22,XRPUSDT,0.0018,571,10208.38,41.68126094570928,3.601745638635313,4.0359391555503645
0.24,ADAUSDT,0.0004,539,6683.3,38.218923933209645,4.434780769800125,3.593623513344517
0.24,APTUSDT,0.002,589,13142.27,50.59422750424448,2.42003909301755,3.8443659484281163
0.24,ATOMUSDT,0.0027,683,18435.26,45.68081991215227,5.882841171588274,5.159928460660678
0.24,AVAXUSDT,0.0138,516,7497.86,39.922480620155035,3.1871028343545653,4.408384560153854
0.24,BNBUSDT,0.605,630,12426.22,44.285714285714285,4.33174466604151,4.06329713989029
0.24,BTCUSDT,66.343,532,12208.1,44.3609022556391,3.668181035510388,4.358482203595973
0.24,DOTUSDT,0.0024,611,16055.98,43.862520458265145,4.320728221573729,5.282019842951384
0.24,ETHUSDT,2.7766,400,3854.09,35.75,3.1920072139363027,3.495655282562234
0.24,LINKUSDT,0.0139,441,2517.02,34.69387755102041,7.01210515485957,2.8609665427509294
0.24,NEARUSDT,0.0021,726,14918.09,46.69421487603306,1.9079152368652523,3.9738712839807113
0.24,SOLUSDT,0.1305,386,1415.81,28.497409326424872,14.47830689094294,3.260274762335768
0.24,SUIUSDT,0.0018,599,8567.18,40.06677796327212,4.31104156563966,3.8347057213249385
0.24,XRPUSDT,0.002,543,9880.49,42.35727440147329,4.225713102124618,3.9028828540082103
